"feature","coefficient","p_value"
"19",-0.0487950036474267,0.908654487655341
"22",0.263477777620917,0.528366470576909
"23",0.381881307912987,0.350540724872591
"28",-0.142857142857143,0.75203373015873
"30",-0.19047619047619,0.664583333333333
"31",-0.0476190476190476,0.934871031746032
"32",NA,NA
"33",-0.19047619047619,0.664583333333333
"53",0.0952380952380952,0.840128968253968
"57",-0.428571428571429,0.299206349206349
"58",-0.215572727144387,0.608149066368405
"59",-0.214285714285714,0.619097222222222
"73",-0.357142857142857,0.389384920634921
"74",-0.214285714285714,0.619097222222222
"87",-0.166666666666667,0.703323412698413
"153",0.381881307912987,0.350540724872591
"165",-0.119047619047619,0.793005952380952
"182",0.0238095238095238,0.976785714285714
"194",0.142857142857143,0.75203373015873
"195",0.214285714285714,0.619097222222222
"213",0.214285714285714,0.619097222222222
"214",0.0476190476190476,0.934871031746032
"216",-0.19047619047619,0.664583333333333
"217",-0.0952380952380952,0.840128968253968
"219",0.714285714285714,0.0575892857142857
"224",-0.119047619047619,0.793005952380952
"231",0.0238095238095238,0.976785714285714
"232",0.0238095238095238,0.976785714285714
"235",-0.0952380952380952,0.840128968253968
"236",-0.119047619047619,0.793005952380952
"238",-0.285714285714286,0.500793650793651
"248",-0.452380952380952,0.267460317460317
"262",-0.452380952380952,0.267460317460317
"263",-0.261904761904762,0.53640873015873
"315",0,1
"322",0,1
"353",0,1
"360",0,1
"373",-0.0476190476190476,0.934871031746032
"374",-0.0476190476190476,0.934871031746032
"375",-0.0476190476190476,0.934871031746032
"382",-0.0239525252382652,0.955106189878913
"408",0.0714285714285714,0.881994047619048
"413",0.0476190476190476,0.934871031746032
"414",-0.30952380952381,0.461805555555556
"415",-0.0476190476190476,0.934871031746032
"421",0.333333333333333,0.427876984126984
"422",0.333333333333333,0.427876984126984
"424",0.238095238095238,0.582142857142857
"425",-0.261904761904762,0.53640873015873
"429",-0.0238095238095238,0.976785714285714
"433",0.19047619047619,0.664583333333333
"436",-0.0952380952380952,0.840128968253968
"482",-0.0952380952380952,0.840128968253968
"489",-0.30952380952381,0.461805555555556
"502",-0.214285714285714,0.619097222222222
"508",-0.619047619047619,0.114980158730159
"543",-0.595238095238095,0.132291666666667
"550",0.0359287878573978,0.932691474909088
"553",0.119047619047619,0.793005952380952
"557",0.30952380952381,0.461805555555556
"564",-0.0476190476190476,0.934871031746032
"565",0.166666666666667,0.703323412698413
"566",0.166666666666667,0.703323412698413
"568",0.285714285714286,0.500793650793651
"574",0.0238095238095238,0.976785714285714
"575",0.0476190476190476,0.934871031746032
"578",0.0476190476190476,0.934871031746032
"579",0.0476190476190476,0.934871031746032
"583",-0.19047619047619,0.664583333333333
"584",0,1
"585",-0.0476190476190476,0.934871031746032
"586",0.0476190476190476,0.934871031746032
"590",-0.119047619047619,0.793005952380952
"593",-0.19047619047619,0.664583333333333
"594",-0.285714285714286,0.500793650793651
"595",0.0476190476190476,0.934871031746032
"596",-0.476190476190476,0.243055555555556
"598",-0.119047619047619,0.793005952380952
"599",-0.214285714285714,0.619097222222222
"600",-0.19047619047619,0.664583333333333
"601",0,1
"602",-0.142857142857143,0.75203373015873
"603",-0.0952380952380952,0.840128968253968
"604",0.0476190476190476,0.934871031746032
"605",-0.142857142857143,0.75203373015873
"606",-0.0476190476190476,0.934871031746032
"611",0,1
"612",-0.285714285714286,0.500793650793651
"625",0.0714285714285714,0.881994047619048
"633",-0.380952380952381,0.359871031746032
"701",0.261904761904762,0.53640873015873
"713",0.0476190476190476,0.934871031746032
"722",0.0476190476190476,0.934871031746032
"725",-0.714285714285714,0.0575892857142857
"739",0.142857142857143,0.75203373015873
"743",0.0238095238095238,0.976785714285714
"747",-0.357142857142857,0.389384920634921
"748",-0.119047619047619,0.793005952380952
