ID,Comp1_Loading,Comp2_Loading
19,4.1481692732977637e-4,0.0011092744468463754
22,5.667541435759546e-4,3.3007762035660546e-4
23,6.804029232774935e-4,0.0017229383306080588
28,4.6156138674714216e-4,6.069383822306977e-4
30,5.099539536531733e-4,7.842309931231826e-4
31,0.0011347837485224063,9.981469799042206e-4
32,-1.376873471736901e-4,-2.1653878693823035e-4
33,9.4586573790095e-4,0.0011374025547383412
53,4.888941552884125e-4,0.0010021046530620645
57,0.001534133840960818,0.0033635740270903888
58,2.326760358300625e-4,-1.4886862406987962e-4
59,5.397208408046714e-4,0.0011347084527154904
73,8.946715443413505e-5,4.13194591702613e-4
74,5.292809818787492e-5,1.2965662993266467e-4
87,8.072063691185911e-4,0.0028793066224500306
153,0.0014461069574385878,0.003490111599470592
165,8.103678546290416e-4,6.978847999257066e-4
182,1.695643958015871e-4,6.662645024481296e-5
194,2.0130481592384349e-4,3.223507135933224e-4
195,-1.623595375947895e-4,7.354954625367891e-4
213,-6.735249405556664e-4,-4.018410466394924e-4
214,-5.585334299903336e-4,8.505069836737909e-4
216,-0.001563382525469543,0.0014878000929451384
217,-0.002353437195072298,0.0021504625430784903
219,5.968808165439097e-4,-6.775492174494648e-4
224,-0.006227628310421748,-0.003136308825849753
231,-0.020330389833955544,0.02852253342044265
232,-0.005068259825694262,0.007174917762400282
235,-0.002666167578816854,-9.129318851068799e-4
236,-0.002812939590883831,-0.0011054778018526957
238,-8.603219349893682e-4,-9.204251567460185e-4
248,-0.001294370969366102,-9.859727898548826e-4
262,-0.0021851021329912083,-0.0021342098964892316
263,-0.0014374835978490652,-9.722317747134356e-4
315,-0.002070081360503591,0.007425049298146693
322,-0.0014286995741491925,0.007125221301518512
353,-0.0013021226405031034,0.006384815993728623
360,-0.004594573005938423,0.02362777300233771
373,-6.694139265478006e-4,0.004989718321815695
374,-6.790181639960189e-4,0.0048592044373886615
375,-0.0037817732603916245,0.04000273092207712
382,-3.003155125652016e-4,0.00495305969549016
408,3.077763496400934e-4,-0.0034877915225026714
413,1.2460537431652106e-5,-8.811071235291152e-4
414,-5.839969778152396e-4,-8.363959734872241e-4
415,0.0017297554728227253,-0.005208491830874514
421,6.32951624662655e-4,0.0050699469506385805
422,-6.219725811668039e-4,0.0046332962072635365
424,-8.919290670558499e-6,5.910781312456731e-4
425,3.078282491835033e-6,8.472619647458737e-4
429,9.86616168516799e-4,-0.005642330465526154
433,-3.0350026243418035e-4,-0.004205260438666094
436,1.0174736700644649e-4,-0.0010566202607555457
482,-1.4562434671586927e-4,0.0019992813322453917
489,-2.458711606248002e-4,0.0011882963113088172
502,-0.0010208689712518605,0.005228747987507599
508,-3.480803654723904e-4,2.184606275965911e-4
543,-3.981126008000845e-4,8.387752043684521e-4
550,2.94646800777361e-5,-0.001864481792573081
553,7.375434813829545e-5,-0.0021964206450545585
557,0.0016637870839546012,4.8709640697080684e-4
564,-1.4277168795036544e-4,0.0011993214393013654
565,2.4168352764773054e-4,-0.00452094513065342
566,2.1052604144809086e-4,-0.0036940754663381406
568,1.2425431799972252e-4,-0.0021974516997133446
574,4.473341341568632e-4,-0.00524837336344712
575,2.612403746553776e-4,-0.0036530951394242893
578,4.4945028593582813e-4,-0.004983372594631614
579,2.943644297989585e-4,-0.0027236018267730268
583,2.5604341929887726e-4,0.0018915385838001203
584,0.0011573489376283366,-0.010765087263833118
585,0.001078485624322216,-0.005479145232061272
586,6.787822391574402e-4,-0.009036820453510177
590,2.3175557601882795e-4,0.0026331576064997178
593,0.004070821519995605,0.02371532805971419
594,7.395732880804717e-4,0.0010321527381351697
595,4.13336520832949e-4,0.0033829243570970154
596,0.0013763126908114122,0.005182048884130425
598,0.001293827239730534,0.012380713061066275
599,9.096436865424571e-4,0.006295596189808818
600,1.7805635767195434e-4,0.001246696194579338
601,7.395661129280082e-4,0.008442587339693667
602,4.1305226495296843e-4,-0.0019673537290053954
603,6.206348094819297e-4,0.004296613195855475
604,2.781214646568632e-4,-0.0028990152314962306
605,3.142759424042964e-4,-3.389350679880146e-4
606,3.5065407203572997e-4,0.004792979895506217
611,3.691225804249162e-4,0.004304344240459461
612,3.384387949365405e-4,9.260202299885153e-4
625,2.579472142323027e-4,0.003665073925488376
633,1.6136057594907284e-4,0.0014562150508456335
701,-8.314108367702163e-5,0.0020338395702653167
713,1.2996755342548112e-5,9.229050131957455e-4
722,-2.9430535817583853e-5,-5.352914182196377e-4
725,-3.9728887703964315e-4,-1.858718951904734e-4
739,6.925518501138322e-5,3.052110458280898e-5
743,-0.005144776811755196,0.009424514952013845
747,-2.1949502375587747e-4,-3.307064196524597e-4
748,-5.543136116374703e-5,4.350056407235538e-4
753,6.217704187528899e-5,-5.826470997260296e-4
766,-5.459252164218822e-5,-4.666364852569026e-5
771,4.6440903209136775e-4,0.001165566370131135
775,1.2175022953216176e-4,4.1898683525514434e-4
776,-1.7830431977459025e-4,3.9595561999104437e-4
777,-8.988218922901138e-4,0.002186173277113892
778,-4.136538097751793e-4,-7.514469053461217e-4
781,2.9449912716649585e-4,0.004752397155567562
782,-8.856650661215926e-4,0.0064279159801305195
798,-2.3622973064575058e-5,2.64944077492528e-4
806,1.6742208000160029e-4,-8.189698837464446e-4
808,4.818868302008709e-5,-3.4081693158586436e-4
809,0.003220518071958289,0.013865853575080056
811,0.008796767672891592,-0.01957847922577373
822,0.0014063579494413545,-0.004856143357840325
823,0.005501264053411915,0.0020206456108818223
828,0.003612404619783462,0.0016922428213134821
835,-1.595738878631914e-4,7.345750479575831e-4
836,0.007053787442318045,0.01266471257114676
837,0.07773010677277985,0.11777830539532998
844,0.010603436261532572,-0.021442727308257817
846,0.0233848344683045,0.007986606926228327
851,0.001741612716132309,0.0038989263791454174
855,8.014247956171855e-4,0.006820694675124934
858,0.043159225409548814,-0.021851510302868207
862,5.635924558503002e-4,0.0020498490852682524
875,-4.717176312882535e-5,-0.0010577604091311977
884,-3.2765540946478206e-4,0.0013758892872404852
886,0.012509657220826203,0.005081766455397361
887,-0.0012802895637695308,-0.001866207170044306
888,-6.813345634543214e-4,-5.894565042077475e-4
895,8.557280908783653e-4,-0.0017782180272340427
901,-0.0017239185372742007,0.0021543295400757593
903,0.02544978035075507,-0.041868723906327766
909,-0.002088333083135435,-0.0027513155443717107
916,-0.0011416665242838138,-7.680514428721467e-4
917,-6.627115126700775e-4,-0.0015446814333726188
919,0.0023830167229772128,0.007663576088559126
983,-0.017226720927122952,-0.015534767958597331
988,6.648255698844336e-4,-0.0011357463923588327
993,0.02072974831710665,-0.01252566769802528
996,0.0074812632779224925,-0.011796633289170577
1058,0.01362637415530649,-0.0069055536458074605
1063,0.004290605591833964,-0.03332568441340637
1066,-0.01141658526178616,-0.006135597576955398
1068,0.036496673055582234,-0.04705405398302143
1083,-6.632558076669497e-4,0.004463450854757388
1085,-4.8423363126402964e-4,0.004774539130667911
1087,0.01077667930816981,-0.014074704541421307
1089,2.1791118747606405e-4,0.0010614304991204016
1096,0.026413589524236027,-0.04463379319513602
1097,0.0011624179370327897,-0.005608701733584849
1108,-0.006181717405607219,-0.012353333740163468
1119,0.016390521145815445,-0.026183113587409858
1120,0.02959543072575473,-0.04985818150333946
1122,0.0029117412004181493,-0.0051300132333714134
1126,0.011995111278831117,-0.013295544355910105
1131,0.0015105843747686587,-0.006558319648954862
1132,0.029307242855549632,-0.03348938127360965
1140,0.00615801349777759,-0.01812032391540542
1147,0.1142860253874839,-0.3298333252663512
1150,0.09649010482564781,-0.34908632040818766
1151,0.0033768568850631973,-0.011284845885905679
1152,0.006750377951353404,-0.01704909855550423
1162,-0.002064999442693695,-0.013140335985175632
1164,0.0033227761271024474,-0.01185266127178918
1173,0.004035474190301048,-0.011239691798483657
1174,8.588575098945977e-4,-0.008647421062538277
1179,0.011779409420035424,-0.014354868029986936
1200,0.009983240625454281,-0.01970120671091356
1205,0.0020511023661749423,-0.007468992358469624
1208,-0.0016850760954512922,-0.0037074967013895916
1209,5.226644331498261e-4,-0.011271532565395582
1217,0.013219274704528482,-0.02499489079316282
1218,0.0763104873882242,-0.14216819655932655
