"","Feature","Comp1_Loading","Comp2_Loading"
"x401","176.83599_1.1981",-0.000365187193266808,-0.000678714896229863
"x402","230.01948_1.2055",0.000141109047599384,0.0066535456441268
"x403","174.06481_1.2061",0.000448346866334085,0.00192569656946474
"x404","344.92806_1.2073",0.000228583751243314,0.00182212181881187
"x405","171.98795_1.2061",0.000207698080254266,0.0010219134846754
"x406","232.01679_1.2018",0.000693380190486646,-0.000782109586898001
"x407","441.68016_1.2023",-0.000818662157695158,-0.00256249831953277
"x408","443.6772_1.2042",-0.000442465696035416,-0.00182185681778648
"x409","332.90248_1.1993",-0.000100043522159924,0.00735727369581521
"x410","445.67422_1.203",-0.000289648976452097,-0.0010840232244747
"x411","342.93108_1.2086",0.000372737638742822,0.00269416414148566
"x412","336.89648_1.2018",0.000638681351146138,0.00203600096817211
"x413","411.65198_1.2086",0.000219680367512696,-0.000140958519916343
"x414","437.68635_1.2061",-0.000526840632538614,-0.00158957748899382
"x415","413.64903_1.208",0.000393989749976345,9.62614575441842e-05
"x416","418.60442_1.2117",-0.000239382517106648,-0.000440376504049568
"x417","416.60747_1.2142",-6.15540046031053e-05,0.000385626556588296
"x418","420.60146_1.213",9.89466224535177e-05,0.000108713961495361
