Annona RSS-85,Beilschmiedia tovarensis,Elaeagia mariae,Inga alba,Myrcia fallax,Myrsine coriacea,Ocotea aciphylla,Pourouma bicolor,Schizocalyx obovatus,Weinmannia lechleriana
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.005141828777101723,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.005141828777101723,0.005141828777101723,NA,NA,NA,NA,NA,NA,NA,NA
0.005141828777101723,0.009690369618384015,0.005141828777101723,NA,NA,NA,NA,NA,NA,NA
0.005141828777101723,0.005141828777101723,0.005141828777101723,0.005141828777101723,NA,NA,NA,NA,NA,NA
0.005141828777101723,0.009690369618384015,0.005141828777101723,0.009255291798783101,0.005141828777101723,NA,NA,NA,NA,NA
0.005141828777101723,0.005141828777101723,0.005141828777101723,0.005398920215956809,0.005141828777101723,0.005141828777101723,NA,NA,NA,NA
0.005141828777101723,0.00987607356577465,0.005141828777101723,0.00987607356577465,0.005398920215956809,0.008998200359928014,0.005141828777101723,NA,NA,NA
0.005141828777101723,0.008998200359928014,0.005141828777101723,0.009690369618384015,0.005141828777101723,0.009255291798783101,0.005141828777101723,0.006966348665750721,NA,NA
0.005141828777101723,0.009998000399920015,0.005141828777101723,0.009998000399920015,0.005141828777101723,0.009998000399920015,0.005141828777101723,0.009998000399920015,0.009690369618384015,NA
