Df,SumOfSqs,R2,F,Pr(>F)
9,25.221246178635223,0.8415900939924674,27.153986697027584,1.999600079984003e-4
46,4.747317328317102,0.1584099060075331,NA,NA
55,29.96856350695231,1,NA,NA
