Annona RSS-85,Beilschmiedia tovarensis,Elaeagia mariae,Inga alba,Myrcia fallax,Myrsine coriacea,Ocotea aciphylla,Pourouma bicolor,Schizocalyx obovatus,Weinmannia lechleriana
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.005570314508526865,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.005570314508526865,0.005570314508526865,NA,NA,NA,NA,NA,NA,NA,NA
0.005570314508526865,0.010404169166166767,0.005570314508526865,NA,NA,NA,NA,NA,NA,NA
0.008998200359928014,0.010404169166166767,0.005570314508526865,0.012509693183314557,NA,NA,NA,NA,NA,NA
0.005570314508526865,0.010457367985862286,0.005570314508526865,0.017178382505317117,0.0167109435255806,NA,NA,NA,NA,NA
0.005570314508526865,0.006650843744294619,0.005570314508526865,0.005570314508526865,0.005570314508526865,0.005570314508526865,NA,NA,NA,NA
0.005570314508526865,0.011022795440911818,0.005570314508526865,0.010457367985862286,0.017178382505317117,0.010404169166166767,0.005570314508526865,NA,NA,NA
0.005570314508526865,0.010892558330439176,0.005570314508526865,0.010404169166166767,0.010404169166166767,0.010457367985862286,0.006650843744294619,0.009718056388722255,NA,NA
0.005570314508526865,0.010404169166166767,0.005570314508526865,0.010457367985862286,0.038992201559688064,0.011022795440911818,0.005570314508526865,0.010404169166166767,0.010457367985862286,NA
