Annona RSS-85,Beilschmiedia tovarensis,Elaeagia mariae,Inga alba,Myrcia fallax,Myrsine coriacea,Ocotea aciphylla,Pourouma bicolor,Schizocalyx obovatus,Weinmannia lechleriana
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.004234599010545,NA,NA,NA,NA,NA,NA,NA,NA,NA
26.457523371393947,19.7403976391405,NA,NA,NA,NA,NA,NA,NA,NA
5.381566095672354,10.566621065711827,19.592023070042988,NA,NA,NA,NA,NA,NA,NA
19.907804207721846,5.552164867980967,14.831318094263827,8.851216257307673,NA,NA,NA,NA,NA,NA
21.44943920083084,2.3933900768118646,29.359004972236157,11.493757183541103,9.591224762797957,NA,NA,NA,NA,NA
1.9124051985753705,40.96211083321604,49.31388711571915,8.140105737414249,37.06082485114318,46.67681261703688,NA,NA,NA,NA
20.149734039285477,9.002877705035974,14.762853146754766,11.081732595201995,1.71063980256483,18.73099394359042,42.65376336738371,NA,NA,NA
12.276398770210283,10.641293852883264,15.79517848485982,6.723292044028354,3.8288077063547807,16.9335410241456,25.447314542254762,5.218283266773261,NA,NA
20.29788168949762,2.606923425505631,23.307509774719513,11.372270900204002,7.874891761604153,2.2310048101417164,42.606891631834664,14.06006619964214,14.026672017858711,NA
