Annona RSS-85,Beilschmiedia tovarensis,Elaeagia mariae,Inga alba,Myrcia fallax,Myrsine coriacea,Ocotea aciphylla,Pourouma bicolor,Schizocalyx obovatus,Weinmannia lechleriana
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7498156345811341,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7909016716839213,0.7693171126865943,NA,NA,NA,NA,NA,NA,NA,NA
0.5374930287570828,0.6225971051525253,0.7799159757139841,NA,NA,NA,NA,NA,NA,NA
0.6662576276483806,0.4326873274125587,0.6050534366863732,0.5050637717954904,NA,NA,NA,NA,NA,NA
0.7836033602256091,0.245136485398009,0.857020303685476,0.6928398049944897,0.5799175287892416,NA,NA,NA,NA,NA
0.4100434770549391,0.746459921631626,0.7798851818024148,0.48123622354946566,0.6407381395747013,0.7812397698653929,NA,NA,NA,NA
0.7618057294365171,0.7086434837097498,0.7076834569979985,0.7303631302658068,0.4199557175671476,0.8497801725737792,0.756977202915602,NA,NA,NA
0.6384642071892042,0.6679699446814927,0.5465785510147336,0.6264833398496801,0.4342054548099356,0.7548531971493789,0.6269608571129934,0.5698047402562082,NA,NA
0.7564848484053888,0.35569878080391815,0.7873710989658176,0.6961940412466321,0.4755955367319182,0.5308263028004399,0.7561397821213931,0.7665701024208247,0.6663545816312068,NA
