Annona RSS-85,Beilschmiedia tovarensis,Elaeagia mariae,Inga alba,Myrcia fallax,Myrsine coriacea,Ocotea aciphylla,Pourouma bicolor,Schizocalyx obovatus,Weinmannia lechleriana
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7217785033029801,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7595370510761825,0.749010960673435,NA,NA,NA,NA,NA,NA,NA,NA
0.6492410999841586,0.7283801816918378,0.808458107082473,NA,NA,NA,NA,NA,NA,NA
0.592096741897514,0.5024229676517216,0.6596035132211965,0.5292023756177828,NA,NA,NA,NA,NA,NA
0.7682281223447461,0.6172741205740503,0.8391052570873783,0.7906535634226017,0.5816514681646989,NA,NA,NA,NA,NA
0.4833123857451475,0.6761744337752195,0.7496422558368646,0.5849006475315865,0.5263360539472777,0.7426769478922379,NA,NA,NA,NA
0.7097192565354579,0.6362921096430201,0.6495103925628587,0.7515020229909383,0.5146280111281439,0.8074080641779191,0.680639447399781,NA,NA,NA
0.7330365566452114,0.7065899230561945,0.6245089729049088,0.795480870348369,0.5845595680938125,0.8377792969745798,0.704354667780691,0.5846051513528524,NA,NA
0.7557930523055553,0.6360329678046991,0.8244573344889408,0.8060025221575903,0.5644865802259655,0.738087457756582,0.7347890310627199,0.7953747039809526,0.8241512267872277,NA
