Annona RSS-85,Beilschmiedia tovarensis,Elaeagia mariae,Inga alba,Myrcia fallax,Myrsine coriacea,Ocotea aciphylla,Pourouma bicolor,Schizocalyx obovatus,Weinmannia lechleriana
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32.06419609737854,NA,NA,NA,NA,NA,NA,NA,NA,NA
78.70328350873108,62.68148766175912,NA,NA,NA,NA,NA,NA,NA,NA
21.3495946657098,9.808180552695353,28.54080171887469,NA,NA,NA,NA,NA,NA,NA
29.21809466896902,20.26810239660273,29.75200614164697,8.176445765213975,NA,NA,NA,NA,NA,NA
39.55504364486966,17.4688485772132,57.582202946505944,7.243124562919293,12.113589552294528,NA,NA,NA,NA,NA
14.785223959484492,23.48879709710245,68.83216150182875,14.898078166921788,24.05737421705543,30.061468997588534,NA,NA,NA,NA
51.3390842884725,28.490596645593563,23.958199435826,12.207839419928055,15.792311330295595,28.513485356168218,39.998595325670344,NA,NA,NA
52.57757146332726,33.17469915149726,13.081044260514062,15.812754839706097,19.45050469581753,32.451582030171515,44.78159445687292,11.89866243475269,NA,NA
52.68063395220254,35.53500084137784,77.7906149264198,9.956445322860258,7.667028626911008,14.957664650704121,42.12027371640405,45.033223985564284,51.45314692711754,NA
