874,1357,DreaMS,0.692,score=0.692
1620,5446,DreaMS,0.640,score=0.640
4577,5783,DreaMS,0.692,score=0.692
2372,2948,DreaMS,0.706,score=0.706
2456,3503,DreaMS,0.688,score=0.688
4410,5583,DreaMS,0.695,score=0.695
3039,4725,DreaMS,0.845,score=0.845
1139,6489,DreaMS,0.641,score=0.641
3005,3296,DreaMS,0.788,score=0.788
1629,1747,DreaMS,0.667,score=0.667
3360,4887,DreaMS,0.744,score=0.744
762,4254,DreaMS,0.655,score=0.655
2454,3394,DreaMS,0.675,score=0.675
4601,5740,DreaMS,0.702,score=0.702
1701,2791,DreaMS,0.652,score=0.652
2741,7324,DreaMS,0.620,score=0.620
2461,3387,DreaMS,0.663,score=0.663
1825,4751,DreaMS,0.677,score=0.677
4511,7441,DreaMS,0.679,score=0.679
3368,5783,DreaMS,0.638,score=0.638
4202,6997,DreaMS,0.642,score=0.642
4533,5308,DreaMS,0.626,score=0.626
544,2506,DreaMS,0.699,score=0.699
2568,2801,DreaMS,0.617,score=0.617
5446,7271,DreaMS,0.688,score=0.688
4300,4779,DreaMS,0.659,score=0.659
3418,5783,DreaMS,0.675,score=0.675
2570,4742,DreaMS,0.772,score=0.772
4192,4601,DreaMS,0.749,score=0.749
2791,3654,DreaMS,0.746,score=0.746
4410,7542,DreaMS,0.616,score=0.616
614,4454,DreaMS,0.659,score=0.659
2729,4725,DreaMS,0.754,score=0.754
3023,4262,DreaMS,0.746,score=0.746
865,5257,DreaMS,0.657,score=0.657
842,3836,DreaMS,0.733,score=0.733
5464,5552,DreaMS,0.619,score=0.619
3836,4403,DreaMS,0.675,score=0.675
3139,4262,DreaMS,0.712,score=0.712
3295,5513,DreaMS,0.632,score=0.632
3545,6162,DreaMS,0.656,score=0.656
865,1745,DreaMS,0.605,score=0.605
2048,3878,DreaMS,0.681,score=0.681
1110,4533,DreaMS,0.612,score=0.612
2236,2525,DreaMS,0.730,score=0.730
2454,3516,DreaMS,0.766,score=0.766
882,1407,DreaMS,0.633,score=0.633
2456,3514,DreaMS,0.719,score=0.719
4435,4680,DreaMS,0.621,score=0.621
871,1418,DreaMS,0.625,score=0.625
2366,3702,DreaMS,0.819,score=0.819
2057,2070,DreaMS,0.642,score=0.642
1961,2989,DreaMS,0.698,score=0.698
959,1330,DreaMS,0.659,score=0.659
3394,3569,DreaMS,0.681,score=0.681
1286,4551,DreaMS,0.604,score=0.604
4187,5760,DreaMS,0.615,score=0.615
7035,7236,DreaMS,0.734,score=0.734
2080,3846,DreaMS,0.681,score=0.681
569,3296,DreaMS,0.695,score=0.695
1287,5388,DreaMS,0.625,score=0.625
977,1312,DreaMS,0.710,score=0.710
4300,5133,DreaMS,0.646,score=0.646
2492,3478,DreaMS,0.626,score=0.626
1710,4725,DreaMS,0.748,score=0.748
3205,3625,DreaMS,0.685,score=0.685
3939,5707,DreaMS,0.639,score=0.639
3180,4370,DreaMS,0.633,score=0.633
4244,6135,DreaMS,0.639,score=0.639
2568,3380,DreaMS,0.689,score=0.689
1822,3310,DreaMS,0.610,score=0.610
964,1886,DreaMS,0.608,score=0.608
4861,5301,DreaMS,0.670,score=0.670
3733,5707,DreaMS,0.658,score=0.658
6438,7146,DreaMS,0.640,score=0.640
544,4601,DreaMS,0.619,score=0.619
3733,4014,DreaMS,0.643,score=0.643
1886,3849,DreaMS,0.624,score=0.624
4577,5890,DreaMS,0.633,score=0.633
3003,6977,DreaMS,0.600,score=0.600
2545,2713,DreaMS,0.710,score=0.710
5408,6148,DreaMS,0.655,score=0.655
7090,7236,DreaMS,0.753,score=0.753
2931,3514,DreaMS,0.616,score=0.616
1700,2748,DreaMS,0.685,score=0.685
1015,1064,DreaMS,0.658,score=0.658
3125,3705,DreaMS,0.645,score=0.645
1175,3108,DreaMS,0.637,score=0.637
1781,4447,DreaMS,0.610,score=0.610
3846,4321,DreaMS,0.627,score=0.627
5304,6393,DreaMS,0.693,score=0.693
3999,4176,DreaMS,0.602,score=0.602
2456,2802,DreaMS,0.761,score=0.761
3164,3948,DreaMS,0.709,score=0.709
981,1629,DreaMS,0.655,score=0.655
2420,3292,DreaMS,0.623,score=0.623
3579,4841,DreaMS,0.678,score=0.678
4329,5104,DreaMS,0.689,score=0.689
1746,5132,DreaMS,0.655,score=0.655
5477,7178,DreaMS,0.615,score=0.615
3296,4855,DreaMS,0.621,score=0.621
2040,2150,DreaMS,0.894,score=0.894
4175,4276,DreaMS,0.623,score=0.623
2791,3384,DreaMS,0.751,score=0.751
2454,2456,DreaMS,0.925,score=0.925
1918,5492,DreaMS,0.675,score=0.675
4647,6977,DreaMS,0.659,score=0.659
3109,4896,DreaMS,0.664,score=0.664
3236,4426,DreaMS,0.619,score=0.619
3039,4362,DreaMS,0.733,score=0.733
2466,3200,DreaMS,0.742,score=0.742
1151,4742,DreaMS,0.681,score=0.681
2499,4254,DreaMS,0.623,score=0.623
2959,4362,DreaMS,0.642,score=0.642
1971,5251,DreaMS,0.623,score=0.623
1949,4726,DreaMS,0.641,score=0.641
4460,5104,DreaMS,0.624,score=0.624
5133,7271,DreaMS,0.680,score=0.680
3846,4751,DreaMS,0.804,score=0.804
4747,4858,DreaMS,0.624,score=0.624
3812,3952,DreaMS,0.806,score=0.806
2427,4676,DreaMS,0.626,score=0.626
838,5778,DreaMS,0.624,score=0.624
3194,5257,DreaMS,0.624,score=0.624
4690,4819,DreaMS,0.648,score=0.648
856,1971,DreaMS,0.731,score=0.731
2154,4362,DreaMS,0.660,score=0.660
1823,2770,DreaMS,0.648,score=0.648
2989,4332,DreaMS,0.766,score=0.766
2153,4363,DreaMS,0.619,score=0.619
1488,3990,DreaMS,0.682,score=0.682
1337,3705,DreaMS,0.775,score=0.775
4348,6342,DreaMS,0.618,score=0.618
3840,4848,DreaMS,0.655,score=0.655
1618,3836,DreaMS,0.648,score=0.648
1618,2525,DreaMS,0.607,score=0.607
4165,4993,DreaMS,0.687,score=0.687
3038,5201,DreaMS,0.603,score=0.603
3039,5200,DreaMS,0.810,score=0.810
941,3296,DreaMS,0.747,score=0.747
2695,3297,DreaMS,0.726,score=0.726
3585,3718,DreaMS,0.754,score=0.754
6503,7182,DreaMS,0.634,score=0.634
3297,3952,DreaMS,0.738,score=0.738
2570,4412,DreaMS,0.633,score=0.633
1156,2409,DreaMS,0.607,score=0.607
2372,3950,DreaMS,0.682,score=0.682
5038,5385,DreaMS,0.640,score=0.640
5034,5389,DreaMS,0.626,score=0.626
3438,4435,DreaMS,0.687,score=0.687
544,2041,DreaMS,0.729,score=0.729
1645,4861,DreaMS,0.613,score=0.613
3503,3655,DreaMS,0.643,score=0.643
2982,5500,DreaMS,0.681,score=0.681
3493,3961,DreaMS,0.632,score=0.632
1353,5253,DreaMS,0.624,score=0.624
4577,5096,DreaMS,0.655,score=0.655
3380,3932,DreaMS,0.725,score=0.725
5740,6977,DreaMS,0.630,score=0.630
600,4403,DreaMS,0.683,score=0.683
3702,4262,DreaMS,0.633,score=0.633
1155,1695,DreaMS,0.654,score=0.654
3764,4924,DreaMS,0.621,score=0.621
4176,4329,DreaMS,0.800,score=0.800
4195,4310,DreaMS,0.740,score=0.740
3555,3703,DreaMS,0.740,score=0.740
2365,5754,DreaMS,0.646,score=0.646
842,3517,DreaMS,0.662,score=0.662
2273,4538,DreaMS,0.676,score=0.676
2709,5072,DreaMS,0.700,score=0.700
5133,5446,DreaMS,0.753,score=0.753
5917,6974,DreaMS,0.602,score=0.602
3384,3654,DreaMS,0.812,score=0.812
465,3517,DreaMS,0.691,score=0.691
5007,5200,DreaMS,0.625,score=0.625
1824,4682,DreaMS,0.654,score=0.654
798,5887,DreaMS,0.616,score=0.616
1701,4421,DreaMS,0.609,score=0.609
2162,2359,DreaMS,0.730,score=0.730
3932,4756,DreaMS,0.689,score=0.689
2649,4761,DreaMS,0.633,score=0.633
2312,2896,DreaMS,0.718,score=0.718
1,35,DreaMS,0.883,score=0.883
609,1846,DreaMS,0.619,score=0.619
2946,3836,DreaMS,0.837,score=0.837
783,4362,DreaMS,0.626,score=0.626
2309,2899,DreaMS,0.611,score=0.611
3596,3680,DreaMS,0.621,score=0.621
3470,4761,DreaMS,0.625,score=0.625
1620,3737,DreaMS,0.618,score=0.618
1221,1629,DreaMS,0.601,score=0.601
4893,5001,DreaMS,0.752,score=0.752
538,5552,DreaMS,0.602,score=0.602
981,1846,DreaMS,0.667,score=0.667
3253,3412,DreaMS,0.829,score=0.829
2329,2432,DreaMS,0.618,score=0.618
3788,4435,DreaMS,0.683,score=0.683
971,1457,DreaMS,0.615,score=0.615
600,3559,DreaMS,0.962,score=0.962
2420,5577,DreaMS,0.602,score=0.602
1,36,DreaMS,0.765,score=0.765
4502,5858,DreaMS,0.618,score=0.618
2454,2866,DreaMS,0.674,score=0.674
306,2427,DreaMS,0.690,score=0.690
4306,4329,DreaMS,0.632,score=0.632
2791,3775,DreaMS,0.644,score=0.644
544,4874,DreaMS,0.615,score=0.615
880,3812,DreaMS,0.635,score=0.635
2610,7097,DreaMS,0.607,score=0.607
4266,4512,DreaMS,0.812,score=0.812
2694,4288,DreaMS,0.648,score=0.648
1353,4540,DreaMS,0.687,score=0.687
2004,4855,DreaMS,0.683,score=0.683
2937,2989,DreaMS,0.914,score=0.914
2109,3626,DreaMS,0.650,score=0.650
1069,1758,DreaMS,0.741,score=0.741
6997,7117,DreaMS,0.775,score=0.775
2526,5520,DreaMS,0.614,score=0.614
1073,1355,DreaMS,0.604,score=0.604
831,2641,DreaMS,0.711,score=0.711
2238,3428,DreaMS,0.632,score=0.632
2730,2959,DreaMS,0.651,score=0.651
2162,3675,DreaMS,0.704,score=0.704
3493,4833,DreaMS,0.743,score=0.743
1731,3139,DreaMS,0.690,score=0.690
3217,3448,DreaMS,0.686,score=0.686
838,4178,DreaMS,0.622,score=0.622
5592,5890,DreaMS,0.610,score=0.610
1976,2472,DreaMS,0.682,score=0.682
1886,3675,DreaMS,0.694,score=0.694
2916,3032,DreaMS,0.696,score=0.696
2162,4087,DreaMS,0.664,score=0.664
2729,2937,DreaMS,0.713,score=0.713
1378,1472,DreaMS,0.891,score=0.891
783,1618,DreaMS,0.682,score=0.682
804,3846,DreaMS,0.610,score=0.610
5650,6047,DreaMS,0.634,score=0.634
4379,4779,DreaMS,0.613,score=0.613
1695,3948,DreaMS,0.641,score=0.641
1466,3350,DreaMS,0.746,score=0.746
804,3775,DreaMS,0.632,score=0.632
2363,3198,DreaMS,0.665,score=0.665
2076,3839,DreaMS,0.626,score=0.626
465,4756,DreaMS,0.658,score=0.658
964,3195,DreaMS,0.616,score=0.616
3217,3228,DreaMS,0.648,score=0.648
2179,4924,DreaMS,0.675,score=0.675
3418,3849,DreaMS,0.640,score=0.640
5938,6285,DreaMS,0.858,score=0.858
2946,3448,DreaMS,0.948,score=0.948
1580,4627,DreaMS,0.603,score=0.603
2931,3039,DreaMS,0.655,score=0.655
3448,3846,DreaMS,0.896,score=0.896
1744,3734,DreaMS,0.653,score=0.653
4412,4746,DreaMS,0.688,score=0.688
3407,3860,DreaMS,0.655,score=0.655
