filename,Keep,Keep_All,Path,Species_binomial,Genus,sampleCode,speciesCode,Plot,Path_Demo,mzmine_sample_type,Count,run_date,Family
beitov_MDP0008.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0008.mzXML,Beilschmiedia tovarensis,Beilschmiedia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/beitov_MDP0008.mzXML,beitov,PP_Tintay_24,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/beitov_MDP0008.mzXML,sample,5,,Lauraceae
beitov_MDP0466.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0466.mzXML,Beilschmiedia tovarensis,Beilschmiedia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/beitov_MDP0466.mzXML,beitov,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/beitov_MDP0466.mzXML,sample,5,,Lauraceae
beitov_MDP0536.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0536.mzXML,Beilschmiedia tovarensis,Beilschmiedia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/beitov_MDP0536.mzXML,beitov,PP_Fuerte_27,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/beitov_MDP0536.mzXML,sample,5,,Lauraceae
beitov_MDP0638.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0638.mzXML,Beilschmiedia tovarensis,Beilschmiedia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/beitov_MDP0638.mzXML,beitov,PP_Tocoaq_29,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/beitov_MDP0638.mzXML,sample,5,,Lauraceae
cupCMG2731_MDP0715.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0715.mzXML,Cupania CMG-2731,Cupania,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0715.mzXML,cupCMG2731,PP_Lomasa_39,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0715.mzXML,sample,6,,Sapindaceae
cupCMG2731_MDP0478.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0478.mzXML,Cupania CMG-2731,Cupania,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0478.mzXML,cupCMG2731,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0478.mzXML,sample,6,,Sapindaceae
cupCMG2731_MDP0545.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0545.mzXML,Cupania CMG-2731,Cupania,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0545.mzXML,cupCMG2731,PP_Fuerte_27,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0545.mzXML,sample,6,,Sapindaceae
cupCMG2731_MDP0315.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0315.mzXML,Cupania CMG-2731,Cupania,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0315.mzXML,cupCMG2731,PP_Lomaka_40,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0315.mzXML,sample,6,,Sapindaceae
cupCMG2731_MDP0649.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0649.mzXML,Cupania CMG-2731,Cupania,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0649.mzXML,cupCMG2731,PP_Tocoaq_29,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0649.mzXML,sample,6,,Sapindaceae
cupCMG2731_MDP0101.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0101.mzXML,Cupania CMG-2731,Cupania,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0101.mzXML,cupCMG2731,PP_Tintay_25,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/cupCMG2731_MDP0101.mzXML,sample,6,,Sapindaceae
elamar_MDP0022.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0022.mzXML,Elaeagia mariae,Elaeagia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0022.mzXML,elamar,PP_Tintay_24,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0022.mzXML,sample,8,,Rubiaceae
