"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",2,146087.801896873,0.519094746633794,11.3338226220297,0.0001999600079984
"Residual",21,135340.208777898,0.480905253366206,NA,NA
"Total",23,281428.010674771,1,NA,NA
