"","parent_call","ctrl_vs_sl1.Df","ctrl_vs_sl1.SumOfSqs","ctrl_vs_sl1.R2","ctrl_vs_sl1.F","ctrl_vs_sl1.Pr..F.","ctrl_vs_sl1.padj","ctrl_vs_le1.Df","ctrl_vs_le1.SumOfSqs","ctrl_vs_le1.R2","ctrl_vs_le1.F","ctrl_vs_le1.Pr..F.","ctrl_vs_le1.padj","sl1_vs_le1.Df","sl1_vs_le1.SumOfSqs","sl1_vs_le1.R2","sl1_vs_le1.F","sl1_vs_le1.Pr..F.","sl1_vs_le1.padj"
"Model","dist_mat ~ group , strata = Null , permutations 999",1,19.2747064546246,0.0854762936120523,1.30851513439182,0.179364127174565,0.269046190761848,1,3.42929521367553,0.310873688284963,6.31557896136346,0.0205958808238352,0.0617876424715057,1,8.21652988406692,0.0385455221121048,0.561271825115352,0.933213357328534,0.933213357328534
"Residual","dist_mat ~ group , strata = Null , permutations 999",14,206.222979981171,0.914523706387948,NA,NA,0.269046190761848,14,7.60185776872824,0.689126311715037,NA,NA,0.0617876424715057,14,204.947786846945,0.961454477887895,NA,NA,0.933213357328534
"Total","dist_mat ~ group , strata = Null , permutations 999",15,225.497686435796,1,NA,NA,0.269046190761848,15,11.0311529824038,1,NA,NA,0.0617876424715057,15,213.164316731012,1,NA,NA,0.933213357328534
