"","Feature","Comp1_Loading","Comp2_Loading"
"5","151.04494_0.5537",0.000166534637083391,-0.000354740133559634
"6","203.07633_0.5544",0.000668861161474646,-0.00030327405596719
"7","218.98354_0.5553",-0.00480889089784913,-0.00217372706266277
"8","232.99911_0.5553",-0.00281860821707636,-0.00060753079007642
"9","119.01885_0.5558",0.00165911449757085,-0.00437397568646998
"10","133.03445_0.5566",0.00225098357113823,-0.00272729329639198
"11","249.0453_0.5983",-0.00130336098284807,-0.00175337621020885
"12","351.06854_0.6015",0.00710834523222226,0.00382884335941221
"13","192.05517_0.6064",-0.0011544153917566,-8.65169851743866e-05
"14","200.04405_0.6065",-0.00144999638028525,0.000465172249195516
"15","219.02639_0.6084",-2.44195605386207e-05,0.00405017899834423
"16","214.05866_0.609",-0.00107567821368005,0.00258308616979593
"17","175.11876_0.612",-0.0448370433516924,0.0236073150415105
"18","130.04976_0.6158",-0.0132574337693737,0.00301080765020934
"19","266.15955_0.6167",-0.0195539844263262,0.00677681534514836
"20","148.06026_0.6173",-0.0117732000845822,0.00192453729861209
"21","203.05241_0.6174",-0.000209494427487842,7.80951885342586e-05
"22","159.07623_0.62",-0.0223682141894782,0.00355982166968978
"23","176.10275_0.6202",-0.0117156710908876,0.00168698000605326
"24","258.10977_0.6224",-0.000926825174507049,-0.00932236093397478
"25","455.11574_0.6226",0.00559674917931432,0.00089926813486899
"26","439.14174_0.6242",0.000406362824703262,-0.000717251132429674
"27","275.12346_0.6254",0.0031198910773554,-0.0015172366539607
"28","338.15532_0.6311",-0.0075177280747691,-0.00088373766479996
"29","138.05482_0.6313",0.0285475166029442,0.00497142791007542
"30","292.10233_0.6325",-0.00519476214456574,0.00223030489182351
"31","204.08648_0.6337",0.0045926404366399,-0.0033344690115237
"32","381.07885_0.6385",-0.0302702210411147,0.0609034034715167
"33","354.1079_0.6453",0.00112297832855996,-0.00230667100720345
"34","543.13155_0.6504",-0.002145317041714,0.0028800496203419
"35","263.01617_0.6517",0.00492920026350835,0.00433147598071395
"36","215.05241_0.6617",0.0404571090778415,0.00777731759378223
"37","533.15457_0.6621",-0.00569377262650559,0.000557879299370736
"38","527.15774_0.6633",-0.005335680621181,-0.00210494991236768
"39","362.09671_0.6644",-0.0109247274216287,0.00199299481575153
"40","365.10505_0.6653",-0.0646457065713916,-0.019514455665607
"41","175.10753_0.6673",0.00257985053071804,0.00605343011592633
"42","233.06295_0.6898",0.00744049814594421,-0.00217188182296793
"43","203.05241_0.6912",0.0084103138481026,-0.000551188356342075
"44","247.04221_0.6949",0.0308211323170112,0.0165380605208265
"45","136.06168_0.6993",-0.0181640232883902,0.00916571264387793
"46","305.08403_0.7062",-0.000121993894617684,-0.00410039431156584
"47","231.04735_0.7183",-0.00615324048733508,0.00153700162138033
"48","321.11541_0.7245",0.00151046626928533,0.00295090514384022
"49","130.08619_0.731",0.034568437170584,0.0176361277192137
"50","229.15456_0.7325",-0.00154780280293868,-0.00275686942951474
"51","154.08612_0.7359",0.00180536596840844,0.00088983703692343
"52","137.05966_0.7421",0.0112208858549269,0.00550125725494776
"53","566.17092_0.7457",0.00110732384135731,0.000303752349340672
"54","349.11026_0.7491",0.00070342407018084,-0.00147235275999852
"55","245.02661_0.7596",-0.00267119598451173,0.000857819372229669
"56","435.07413_0.7635",0.00380548669063863,-0.000819728523012222
"57","261.05795_0.7637",0.00115667331556941,1.49579125925275e-05
"58","173.04193_0.7653",-0.0197220451109774,0.0011274210626627
"59","291.10485_0.7688",0.000979908934060239,0.00302558881929214
"60","262.12827_0.7725",-0.00133448727442206,-0.000167802191842973
"61","241.15454_0.7783",-0.000833848419706777,-0.00134514011658821
"62","321.11543_0.7899",-0.000878002654686302,-0.000194314552284976
"63","227.0161_0.8013",0.00255416845922942,0.00128965264257723
"64","332.13385_0.8074",1.38448411082485e-05,-7.96893335027668e-05
"65","229.03181_0.8102",0.0023006156901282,-6.70256925266019e-05
"66","217.06821_0.8268",-0.000439950496812304,0.000260071359485208
"67","248.99167_0.8293",-0.000520792000620817,9.45317062640322e-05
"68","215.01614_0.831",-0.0258758032674205,0.00837216686248418
"69","276.9866_0.8313",-0.000850042278850068,0.000184510777855508
"70","212.00775_0.8328",-0.00260337157207272,0.000781587480138989
"71","423.00778_0.8364",-0.00221567424163444,0.000466063176739852
"72","314.0845_0.8414",-0.000604702101148517,0.000641505628214719
"73","346.1107_0.8417",0.00170777567406686,0.0010269861943523
"74","307.08311_0.8458",1.37887502446009e-05,-0.000958125027807345
"75","319.09984_0.8495",-0.000759899376212616,-0.000535136269575377
"76","289.05531_0.8597",-9.70615696610564e-05,-0.000395505701554232
"77","311.03716_0.8597",0.000213424239698939,-0.000798322234592271
"78","787.2112_0.8656",-6.45994356875866e-05,-0.000103272941064357
"79","121.06475_0.8726",0.0598681715440971,0.034689064452444
"80","789.22685_0.8772",-8.60338362795702e-05,-0.000171619157233997
"81","329.02905_0.8813",-0.000738623239092318,-0.000272460834190147
"82","267.05861_0.8814",-0.00231224925069846,-0.000283787564391394
"83","229.03181_0.8837",-0.000516594928230592,-0.000297788595031698
"84","395.10595_0.8874",0.000548796023453158,0.000142086416741845
"85","182.08115_0.8882",-0.000372637718612346,-0.000131857883998183
"86","261.09437_0.8955",-0.000799851617208948,-0.000714129441058836
"87","305.12055_0.909",0.00116448058623345,-0.00389536449255161
"88","247.07867_0.9104",-0.000373798892947667,1.820279709594e-05
"89","217.06819_0.9126",6.02171336915654e-05,-0.00347049258491572
"90","314.09154_0.9139",-0.00235026216891105,-0.000341018668800823
"91","303.10491_0.9154",-0.000309711997998507,-0.000316873905392097
"92","537.14222_0.9207",-0.00174038264185498,-0.00367769135462324
"93","873.12315_0.9208",0.000155931878515503,-0.000235241548604932
"94","541.0496_0.9215",0.00218701152413518,-0.000552597956427275
"95","518.09191_0.9227",0.00266092548831586,-0.00040507378509192
"96","352.0551_0.9244",0.00352542556707498,-0.000927487716987979
"97","417.03368_0.9245",0.00422045099694526,0.000183705347467534
"98","355.0633_0.9256",0.0666933953950952,-0.00934771541588633
"99","687.13714_0.9273",0.00344395322915575,-0.000862894940017393
"100","435.0741_0.9276",0.001019614943294,0.00027969273565787
"101","231.08382_0.9467",-0.00208954538648484,-7.78187068001268e-05
"102","259.04236_0.9481",-0.00842599327885114,0.00300764761268915
"103","669.18465_0.9528",-0.000140964095133413,0.000168250799525232
"104","539.15797_0.9557",-0.000108467389528306,-0.000333918787851535
"105","221.09212_0.9586",0.00159625220204377,0.000853719875051957
"106","369.1153_0.9673",0.000409805841939316,0.000114843947830739
"107","275.00729_0.9699",-0.0008318089943917,0.00111088371687625
"108","369.11531_0.9718",0.000549357627865237,-0.000179012187100375
"109","289.08936_0.9758",-0.00013088875092963,-0.00061080797011312
"110","136.06178_0.9876",-0.0048920168079377,-0.0014386414523592
"111","268.10394_0.9878",-0.0166004877399155,-0.00661938120038501
"112","339.06859_0.9889",-0.000857218551909055,0.000425329379669735
"113","290.08579_0.9928",-0.000582180654682289,-0.000574326174747521
"114","132.10188_0.9992",-0.000757268313543748,-0.000304970538540086
"115","671.20007_1.0031",0.000238384046060105,0.000228481568321326
"116","319.09998_1.0054",0.000741131051883692,0.000375206291371012
"117","160.0756_1.0164",0.00945123960560807,4.04876237117235e-05
"118","209.09209_1.0299",0.00233492988846576,0.000909212423019735
"119","518.09209_1.0386",-0.000222183008947546,-0.000617218539353374
"120","305.06547_1.04",-0.00101064906843753,0.000857914436229096
"121","825.07513_1.0408",0.000187773440097536,2.0790243818126e-05
"122","271.04228_1.0455",-0.0011466885266711,-0.000173802150548213
"123","229.15462_1.0496",0.000310069364239729,0.000788117235236578
"124","261.05805_1.0517",9.44630530274116e-05,0.000199961526308835
"125","687.13732_1.0517",-0.000315333933407555,-0.00070701955179956
"126","315.07092_1.0544",-0.00302707526578322,-0.00466191388966115
