parent_call,ctrl_vs_sl1.Df,ctrl_vs_sl1.SumOfSqs,ctrl_vs_sl1.R2,ctrl_vs_sl1.F,ctrl_vs_sl1.Pr..F.,ctrl_vs_sl1.padj,ctrl_vs_le1.Df,ctrl_vs_le1.SumOfSqs,ctrl_vs_le1.R2,ctrl_vs_le1.F,ctrl_vs_le1.Pr..F.,ctrl_vs_le1.padj,sl1_vs_le1.Df,sl1_vs_le1.SumOfSqs,sl1_vs_le1.R2,sl1_vs_le1.F,sl1_vs_le1.Pr..F.,sl1_vs_le1.padj
"dist_mat ~ group , strata = Null , permutations 999",1,19.27470645462456,0.08547629361205226,1.308515134391821,0.1783643271345731,0.26754649070185965,1,3.429295213675534,0.3108736882849633,6.315578961363463,0.022395520895820836,0.06718656268746251,1,8.21652988406692,0.038545522112104796,0.5612718251153525,0.9272145570885822,0.9272145570885822
"dist_mat ~ group , strata = Null , permutations 999",14,206.22297998117102,0.9145237063879477,NA,NA,0.26754649070185965,14,7.601857768728241,0.6891263117150368,NA,NA,0.06718656268746251,14,204.94778684694472,0.9614544778878951,NA,NA,0.9272145570885822
"dist_mat ~ group , strata = Null , permutations 999",15,225.4976864357956,1,NA,NA,0.26754649070185965,15,11.031152982403773,1,NA,NA,0.06718656268746251,15,213.16431673101167,1,NA,NA,0.9272145570885822
