parent_call,ctrl_vs_sl1.Df,ctrl_vs_sl1.SumOfSqs,ctrl_vs_sl1.R2,ctrl_vs_sl1.F,ctrl_vs_sl1.Pr..F.,ctrl_vs_sl1.padj,ctrl_vs_le1.Df,ctrl_vs_le1.SumOfSqs,ctrl_vs_le1.R2,ctrl_vs_le1.F,ctrl_vs_le1.Pr..F.,ctrl_vs_le1.padj,sl1_vs_le1.Df,sl1_vs_le1.SumOfSqs,sl1_vs_le1.R2,sl1_vs_le1.F,sl1_vs_le1.Pr..F.,sl1_vs_le1.padj
"dist_mat ~ group , strata = Null , permutations 999",1,106980.28588779941,0.5283051371601897,15.680204519747894,1.999600079984003e-4,2.9994001199760045e-4,1,24855.81850466432,0.23513416021232653,4.303863595067073,3.999200159968006e-4,3.999200159968006e-4,1,87295.59845284549,0.4806870804299403,12.958697679985757,1.999600079984003e-4,2.9994001199760045e-4
"dist_mat ~ group , strata = Null , permutations 999",14,95516.86653977854,0.47169486283981027,NA,NA,2.9994001199760045e-4,14,80853.27319949075,0.7648658397876733,NA,NA,3.999200159968006e-4,14,94310.27781652671,0.5193129195700598,NA,NA,2.9994001199760045e-4
"dist_mat ~ group , strata = Null , permutations 999",15,202497.15242757797,1,NA,NA,2.9994001199760045e-4,15,105709.09170415509,1,NA,NA,3.999200159968006e-4,15,181605.87626937218,1,NA,NA,2.9994001199760045e-4
