Df,SumOfSqs,R2,F,Pr(>F)
2,146087.80189687284,0.519094746633794,11.333822622029718,1.999600079984003e-4
21,135340.20877789796,0.4809052533662058,NA,NA
23,281428.01067477086,1,NA,NA
