Df,SumOfSqs,R2,F,Pr(>F)
2,14304.584087755584,0.36180246573476954,5.952586285982538,1.999600079984003e-4
21,25232.415912244407,0.6381975342652302,NA,NA
23,39537,1,NA,NA
