parent_call,ctrl_vs_sl1.Df,ctrl_vs_sl1.SumOfSqs,ctrl_vs_sl1.R2,ctrl_vs_sl1.F,ctrl_vs_sl1.Pr..F.,ctrl_vs_sl1.padj,ctrl_vs_le1.Df,ctrl_vs_le1.SumOfSqs,ctrl_vs_le1.R2,ctrl_vs_le1.F,ctrl_vs_le1.Pr..F.,ctrl_vs_le1.padj,sl1_vs_le1.Df,sl1_vs_le1.SumOfSqs,sl1_vs_le1.R2,sl1_vs_le1.F,sl1_vs_le1.Pr..F.,sl1_vs_le1.padj
"dist_mat ~ group , strata = Null , permutations 999",1,9429.648987747367,0.3144858150678634,6.422626267589123,1.999600079984003e-4,1.999600079984003e-4,1,3489.0626141012485,0.25549243215996537,4.804375676954902,1.999600079984003e-4,1.999600079984003e-4,1,8538.981495028349,0.301934886468728,6.055435701662274,1.999600079984003e-4,1.999600079984003e-4
"dist_mat ~ group , strata = Null , permutations 999",14,20554.689052149686,0.6855141849321366,NA,NA,1.999600079984003e-4,14,10167.164243987158,0.7445075678400348,NA,NA,1.999600079984003e-4,14,19741.889241360528,0.6980651135312719,NA,NA,1.999600079984003e-4
"dist_mat ~ group , strata = Null , permutations 999",15,29984.338039897055,1,NA,NA,1.999600079984003e-4,15,13656.226858088405,1,NA,NA,1.999600079984003e-4,15,28280.87073638888,1,NA,NA,1.999600079984003e-4
