Df,SumOfSqs,R2,F,Pr(>F)
2,146572.50981792508,0.5196052776605514,11.357026132315964,1.999600079984003e-4
21,135511.8263494189,0.4803947223394487,NA,NA
23,282084.33616734395,1,NA,NA
