Df,SumOfSqs,R2,F,Pr(>F)
2,14305.128731251309,0.36181624127402967,5.952941423895737,1.999600079984003e-4
21,25231.871268748688,0.6381837587259704,NA,NA
23,39536.99999999999,1,NA,NA
