parent_call,ctrl_vs_sl1.Df,ctrl_vs_sl1.SumOfSqs,ctrl_vs_sl1.R2,ctrl_vs_sl1.F,ctrl_vs_sl1.Pr..F.,ctrl_vs_sl1.padj,ctrl_vs_le1.Df,ctrl_vs_le1.SumOfSqs,ctrl_vs_le1.R2,ctrl_vs_le1.F,ctrl_vs_le1.Pr..F.,ctrl_vs_le1.padj,sl1_vs_le1.Df,sl1_vs_le1.SumOfSqs,sl1_vs_le1.R2,sl1_vs_le1.F,sl1_vs_le1.Pr..F.,sl1_vs_le1.padj
"dist_mat ~ group , strata = Null , permutations 999",1,19.2747494637152,0.08547648696485156,1.3085183709890351,0.1865626874625075,0.2798440311937613,1,3.429295213654912,0.3108736883128454,6.315578962185432,0.020395920815836834,0.0611877624475105,1,8.21656176986881,0.03854567495807496,0.5612741399748948,0.9318136372725455,0.9318136372725455
"dist_mat ~ group , strata = Null , permutations 999",14,206.22293005183496,0.9145235130351483,NA,NA,0.2798440311937613,14,7.60185776769315,0.6891263116871547,NA,NA,0.0611877624475105,14,204.94773691748668,0.9614543250419251,NA,NA,0.9318136372725455
"dist_mat ~ group , strata = Null , permutations 999",15,225.49767951555017,1,NA,NA,0.2798440311937613,15,11.031152981348061,1,NA,NA,0.0611877624475105,15,213.16429868735548,1,NA,NA,0.9318136372725455
