term_level,term,subsetcount,totalcount,foldenrichment,pval,fdr,comp
NPC_class,"Indole diketopiperazine alkaloids (L-Trp, L-Ala)",2,2,37.369565217391305,0.17107450132578098,0.782844419745348,ctrl_vs_sl1.up
NPC_class,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)",1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Iridoids monoterpenoids,1,6,6.228260869565217,0.779000835848324,0.9037757644028711,ctrl_vs_sl1.up
NPC_class,Isoquinoline alkaloids,4,6,24.913043478260867,0.10956894264924451,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Jasmonic acids,1,3,12.456521739130434,0.5776614739533967,0.8183537547673121,ctrl_vs_sl1.up
NPC_class,Limonoids,3,4,28.02717391304348,0.13706361423484012,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Lipopeptides,1,3,12.456521739130434,0.5776614739533967,0.8183537547673121,ctrl_vs_sl1.up
NPC_class,Lupane triterpenoids,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Menthane monoterpenoids,2,18,4.152173913043478,0.9226925795257449,0.9981573598303687,ctrl_vs_sl1.up
NPC_class,Monosaccharides,4,44,3.397233201581028,0.9903056139239877,0.9997386010276256,ctrl_vs_sl1.up
NPC_class,Neutral glycosphingolipids,1,7,5.338509316770186,0.8219526733987439,0.9315463631852431,ctrl_vs_sl1.up
NPC_class,Oligomeric phloroglucinols (phlorotannins),1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Open-chain polyketides,5,14,13.346273291925465,0.3007317561084668,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Oxygenated hydrocarbons,1,14,2.669254658385093,0.9609010486768466,0.9981573598303687,ctrl_vs_sl1.up
NPC_class,Phenylalanine-derived alkaloids,1,3,12.456521739130434,0.5776614739533967,0.8183537547673121,ctrl_vs_sl1.up
NPC_class,Phenylethylamines,1,4,9.342391304347826,0.6596284905216518,0.8495215408233395,ctrl_vs_sl1.up
NPC_class,Pinane monoterpenoids,1,4,9.342391304347826,0.6596284905216518,0.8495215408233395,ctrl_vs_sl1.up
NPC_class,Polyamines,5,22,8.49308300395257,0.6225405894241343,0.8495215408233395,ctrl_vs_sl1.up
NPC_class,Polyene macrolides,2,4,18.684782608695652,0.3291784824949533,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Polyether ionophores,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Pregnane steroids,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Prostaglandins,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Purine alkaloids,6,11,20.383399209486168,0.09247824832067705,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Purine nucleosides,3,9,12.456521739130434,0.4194150077940826,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Purine nucleotides,1,3,12.456521739130434,0.5776614739533967,0.8183537547673121,ctrl_vs_sl1.up
NPC_class,Pyridine alkaloids,2,12,6.228260869565217,0.7868165478330877,0.9037757644028711,ctrl_vs_sl1.up
NPC_class,Pyrimidine nucleosides,4,18,8.304347826086955,0.6419508247033139,0.8495215408233395,ctrl_vs_sl1.up
NPC_class,Pyrimidine nucleotides,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Pyrrole alkaloids,3,15,7.473913043478261,0.7075156849315425,0.8812295975827755,ctrl_vs_sl1.up
NPC_class,Pyrrolidine alkaloids,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Pyrrolizidine alkaloids,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Pyrroloindole alkaloids,2,3,24.913043478260867,0.24979340768037583,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Quinazoline alkaloids,2,2,37.369565217391305,0.17107450132578098,0.782844419745348,ctrl_vs_sl1.up
