id,log2FC,padj,pval,Expression
19,12.489440326458135,0.036234287804257706,0.012541827366802406,Up-regulated
22,3.018496117773379,0.019311108122171596,0.005560790296960407,Up-regulated
23,13.081088090814204,0.18831223974689934,0.09892143833126825,Not significant
28,0.832097499856008,0.0023996048882427355,3.4479488504709463e-4,Not significant
30,0.8450466412302211,0.0029591237219981194,4.5273387951454646e-4,Not significant
31,1.5740250527574848,0.004511218033665558,8.187900096007295e-4,Up-regulated
32,0,1,1,Not significant
33,0.867204566420936,0.0026172639058509874,3.8977286788705805e-4,Not significant
53,0.46167091808969735,0.006636901142948061,0.0013629005837467515,Not significant
57,0.2241616975326499,0.021260152314548877,0.006295181808089226,Not significant
58,0.07766176482989055,0.888640594737863,0.8431488132736792,Not significant
59,0.2521856810014206,0.018125135966775292,0.005061119990722595,Not significant
73,0.26165319661746883,0.040094488749477526,0.014204504740216294,Not significant
74,0.20706236784116847,0.07384969904443132,0.030674046025435702,Not significant
87,0.20450617153738532,0.024890763879750394,0.0077958220881088865,Not significant
153,14.107635975110108,0.18248101851929485,0.09511517893734042,Not significant
165,0.11423304153077121,0.09528222485782246,0.04240308436081104,Not significant
182,0.08305959117872148,0.21543506372672708,0.11855821424402782,Not significant
194,0.10512625178738208,0.10208795973831399,0.04644141042196716,Not significant
195,0.005519197795655688,0.948353319179218,0.9279408277250986,Not significant
213,-0.05745353526550407,0.35709809649914326,0.24250736863759811,Not significant
214,-0.01385978737665158,0.85340516192055,0.8017739013971428,Not significant
216,0.026898869721831278,0.6883326488283111,0.6262665868339027,Not significant
217,-0.03324630483457141,0.588939720434832,0.518020277659957,Not significant
219,0.27583222808560703,0.5018708645372999,0.42216711467186485,Not significant
224,-0.072735970188435,0.26672039091971517,0.15986477608514085,Not significant
231,-0.0010350175953189678,0.993738569381791,0.9862233853201484,Not significant
232,0.003650446839418727,0.9625614875006457,0.9467873617677772,Not significant
235,-0.08006052874098682,0.24856353559438865,0.14488694744943423,Not significant
236,-0.08807502491979714,0.24609924079800383,0.14293657543924815,Not significant
238,-0.1084178104967991,0.24298249307916064,0.1403616146757455,Not significant
248,-0.09073346183468646,0.2168001116344941,0.11968778705127103,Not significant
262,-0.10390561092847383,0.18634359440947584,0.09746393394579596,Not significant
263,-0.1504984520312673,0.07581099804128189,0.03166509400444468,Not significant
315,-0.0380363108958991,0.896034425853104,0.8517278951971914,Not significant
322,-0.015152111561203226,0.9639971273318916,0.9488558111957885,Not significant
353,-0.01576669601282049,0.9625614875006457,0.94688276635462,Not significant
360,0.003313078273156806,0.9946836268847028,0.9883185774980061,Not significant
373,0.018761464326473253,0.9611511040539809,0.9443276572399104,Not significant
374,0.05915318762514014,0.8654041592918982,0.81473908221112,Not significant
375,0.0952993354823056,0.7663730819695319,0.7097533138426381,Not significant
382,0.12869954934186723,0.8274441621197679,0.7749767894199107,Not significant
408,-0.04225788127637406,0.940778393586081,0.9128669927292513,Not significant
413,-0.1206753966294834,0.6031262310082166,0.5347087702481222,Not significant
414,0.07609544623661414,0.8153695721765495,0.760821869558572,Not significant
415,0.5278819278220765,0.2704785665601545,0.16364031950119878,Not significant
421,0.25732473741076445,0.5555104722730799,0.4811838820329354,Not significant
422,-0.048137207102380376,0.8654041592918982,0.8150606945279716,Not significant
424,0.047703622724424084,0.9039251011907455,0.8618576153878021,Not significant
425,0.11084595154494656,0.7087200379574141,0.6497631063530451,Not significant
429,0.1805183795685259,0.6612736587412776,0.5954925094424071,Not significant
433,-0.0011497025093348489,1,0.9959448068222493,Not significant
436,0.10695514723702376,0.6753117875684768,0.6132412451392625,Not significant
482,0.12201188531098822,0.4967524609087005,0.4169946486860121,Not significant
489,0.03030965169186288,0.8923658517121105,0.8472024839989322,Not significant
502,0.027765598890963365,0.9103124361867446,0.8727137259079436,Not significant
508,0.006932368054819178,0.9809305595764888,0.9689471146951005,Not significant
543,-0.19565620249955706,0.4571918960598219,0.3748759086463893,Not significant
550,-0.07916510904269641,0.9434886168180092,0.9183108224806621,Not significant
553,0.0948094891891114,0.9248230295516473,0.8889143289536958,Not significant
557,0.03981396918765009,0.8827614496380093,0.8329488489312687,Not significant
564,0.2112773992866426,0.5894585816533925,0.5188195660509498,Not significant
565,-0.009067319495647132,0.9936120605913954,0.9849417982825699,Not significant
566,0.0613404554407341,0.9395516711805029,0.9111300964851067,Not significant
568,0.07295701848043372,0.9321175226681621,0.9015809961803427,Not significant
574,-0.005374576807070527,0.993738569381791,0.9859437846891503,Not significant
575,-0.040759455197178635,0.948353319179218,0.9275849757680569,Not significant
578,-0.03724129738694692,0.9248230295516473,0.8883936670857727,Not significant
579,-0.02988284472575954,0.9296769064305727,0.896501162307633,Not significant
583,0.17389941646303658,0.11325101067642801,0.052837295266140345,Not significant
584,0.013070005696879182,0.9611511040539809,0.9443770882764244,Not significant
585,0.027355685455158547,0.9078240231130666,0.8683439468397365,Not significant
586,0.0031123855200802845,0.9986883566423596,0.99287865125177,Not significant
590,0.21179356363996713,0.2565792495395986,0.15179819475379394,Not significant
593,0.18137981834127465,0.07223833835598427,0.029878684450904486,Not significant
594,0.09884689901658876,0.2658271524255532,0.158815872915092,Not significant
595,0.22524776260402002,0.16079880617428147,0.08147513681081976,Not significant
596,0.10420338867038764,0.1871292877928901,0.09808230849412099,Not significant
598,0.2358815108733395,0.1940976602021112,0.10263802974038341,Not significant
599,0.09355171262025168,0.2446768134072514,0.1417673683267146,Not significant
600,0.10793408637010568,0.23007773221115274,0.1300264385386701,Not significant
601,0.2526379471655622,0.23995708725871587,0.13805559005169865,Not significant
602,0.02708986245002707,0.8835042573127043,0.8341637054208952,Not significant
603,0.12256275749547546,0.1999671140204346,0.10690504815868493,Not significant
604,-0.035113153593802425,0.948353319179218,0.9271437147814541,Not significant
605,0.01982885181020776,0.8864963095543658,0.8405985948653963,Not significant
606,0.13389813760433195,0.29210392258471163,0.18148166918003025,Not significant
611,0.2690196136547989,0.2645347039099844,0.15758204584282956,Not significant
612,0.06664895409410802,0.5250541659486516,0.44930464113465185,Not significant
